Category,Question,Answer
Admissions,Could you please explain how much percentage is required for Environmental Engineering BS? (I need this urgently),The merit criteria for BS in Environmental Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Tell me, how much percentage is required for English ME? Can you help?",Admission to English (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hello, what is the merit for PhD in Chemical Engineering? Appreciate it.",Admission to Chemical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on what is the merit for ME in Software Engineering? Appreciate it.,The merit criteria for ME in Software Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hello, what is the merit for MS in Chemical Engineering? - thanks in advance!",Admission to Chemical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,"Hello, how do I go to Admissions Office?",You will find the Admissions Office clearly signposted at the NED Main Campus.
Admissions,Can you tell me what is the merit for MS in Metallurgical Engineering? ASAP.,The merit criteria for MS in Metallurgical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Can you tell me how much percentage is required for Automotive Engineering BE? Please.,Admission to Automotive Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,"Hello, who is the chairperson of English? ASAP.",The details of the Chairperson for English are listed on the departmental sub-domain of the NED website.
Admissions,Closing merit for Telecommunications Engineering? (I need this urgently),Admission to Telecommunications Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Could you please explain location of Software Engineering? ASAP.,The Software Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,Please guide me about how much does Textile Engineering cost?,"For PhD in Textile Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Quick question: what is the merit for PhD in Polymer & Petrochemical Engineering? (I need this urgently),Admission to Polymer & Petrochemical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hey CampusBrain, what is the merit for ME in Architecture? Please.",The merit criteria for ME in Architecture depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Tell me, what is the merit for PhD in Electronic Engineering? - thanks in advance!",Admission to Electronic Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hey CampusBrain, what is the merit for BS in Physics? - thanks in advance!",The merit criteria for BS in Physics depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Fee for BS in Mechanical Engineering? Please.,"For BS in Mechanical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Quick question: how do I go to Admissions Office? Please.,The Admissions Office is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Fees & Scholarships,Please guide me about how much does Chemistry cost? - thanks in advance!,The fee structure for Chemistry varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,I would like to know directions to Materials Engineering building? ASAP.,The Materials Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,I would like to know fee for PhD in Architecture?,The fee structure for Architecture varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Could you please explain what is the fee structure for Textile Engineering? Thanks.,The fee structure for Textile Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Could you please explain merit criteria for Textile Engineering? Please.,Admission to Textile Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Tell me, closing merit for Automotive Engineering? Can you help?",The merit criteria for PhD in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, how much percentage is required for Petroleum Engineering MS? Thanks.",The merit criteria for MS in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about what is the fee structure for Biomedical Engineering? ASAP.,The fee structure for Biomedical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,Quick question: location of Sports Complex? ASAP.,The Sports Complex is situated at the Main Campus. Ask any of the security personnel or student volunteers for exact directions.
Admissions,Quick question: merit criteria for Electronic Engineering? Can you help?,Admission to Electronic Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on what is the merit for PhD in Petroleum Engineering? Thanks.,Admission to Petroleum Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,I would like to know what is the fee structure for Mechanical Engineering? Can you help?,"For BS in Mechanical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Please guide me about what is the merit for BE in Physics? Can you help?,The merit criteria for BE in Physics depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Can you tell me merit criteria for Petroleum Engineering?,Admission to Petroleum Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,Do you know where is the Student Affairs Directorate? - thanks in advance!,You will find the Student Affairs Directorate clearly signposted at the NED Main Campus.
Admissions,I'm looking for info on what is the merit for MS in Chemical Engineering? (I need this urgently),Admission to Chemical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,What is the fee structure for Civil Engineering? Appreciate it.,"For BS in Civil Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Closing merit for English? Please.,The merit criteria for BE in English depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Tell me, fee for MS in Textile Engineering? Appreciate it.","For MS in Textile Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,"Hi, directions to Mathematics building? Appreciate it.",The Mathematics department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,"Hey CampusBrain, chairperson contact for Physics? Can you help?",The details of the Chairperson for Physics are listed on the departmental sub-domain of the NED website.
Academics,Please guide me about where is the Civil Engineering department located? Please.,You can find the Civil Engineering at the NED Main Campus.
Fees & Scholarships,Please guide me about fee for PhD in Electrical Engineering? - thanks in advance!,The fee structure for Electrical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Could you please explain closing merit for Chemistry? Please.,The merit criteria for ME in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,How much does Electrical Engineering cost? - thanks in advance!,The fee structure for Electrical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,I'm looking for info on where is the Engr. Abul Kalam Library? (I need this urgently),You will find the Engr. Abul Kalam Library clearly signposted at the NED Main Campus.
Fees & Scholarships,Quick question: fee for ME in Polymer & Petrochemical Engineering? (I need this urgently),"For ME in Polymer & Petrochemical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,I would like to know chairperson contact for Software Engineering? (I need this urgently),The details of the Chairperson for Software Engineering are listed on the departmental sub-domain of the NED website.
Academics,Do you know directions to Food Engineering building? - thanks in advance!,The Food Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,"Tell me, fee for BE in Materials Engineering? Appreciate it.","For BE in Materials Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Could you please explain how much percentage is required for Automotive Engineering ME? Thanks.,The merit criteria for ME in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Please guide me about merit criteria for Software Engineering? Thanks.,The merit criteria for BS in Software Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Do you know fee for PhD in Environmental Engineering? - thanks in advance!,"For PhD in Environmental Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,I would like to know what is the merit for MS in English? Appreciate it.,Admission to English (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hey CampusBrain, when do admissions open for BS? ASAP.",Admissions for BS typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Admissions,Do you know what is the merit for BS in Architecture?,The merit criteria for BS in Architecture depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Hey CampusBrain, fee for BE in Biomedical Engineering? - thanks in advance!","For BE in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Do you know directions to Environmental Engineering building?,You can find the Environmental Engineering at the NED Main Campus.
Admissions,I would like to know what is the merit for ME in Automotive Engineering?,The merit criteria for ME in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hey CampusBrain, how much percentage is required for Computer Systems Engineering BS? ASAP.",Admission to Computer Systems Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,I'm looking for info on fee for ME in Chemistry? Please.,"For ME in Chemistry, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Could you please explain how to find Biomedical Engineering? (I need this urgently),You can find the Biomedical Engineering at the NED Main Campus.
Admissions,Please guide me about how much percentage is required for Computer Systems Engineering PhD? ASAP.,The merit criteria for PhD in Computer Systems Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,I'm looking for info on directions to Mechanical Engineering building? Thanks.,You can find the Mechanical Engineering at the NED Main Campus.
Fees & Scholarships,I'm looking for info on what is the fee structure for Chemistry? Appreciate it.,"For BS in Chemistry, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Could you please explain how much percentage is required for Chemical Engineering PhD? Thanks.,Admission to Chemical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hey CampusBrain, how much does Civil Engineering cost? Appreciate it.","For PhD in Civil Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Please guide me about how much does Biomedical Engineering cost?,The fee structure for Biomedical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Facilities,Directions for Sports Complex? ASAP.,You will find the Sports Complex clearly signposted at the NED Main Campus.
Fees & Scholarships,Please guide me about how much does Computer Systems Engineering cost? ASAP.,The fee structure for Computer Systems Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,How much percentage is required for Polymer & Petrochemical Engineering PhD? Appreciate it.,The merit criteria for PhD in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Quick question: fee for MS in Chemistry?,"For MS in Chemistry, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,I'm looking for info on fee for BE in Polymer & Petrochemical Engineering? Please.,The fee structure for Polymer & Petrochemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,I'm looking for info on when do admissions open for MS? Thanks.,The schedule for MS admissions is announced on the official website. It generally starts in the summer.
Academics,Please guide me about directions to Petroleum Engineering building? Please.,You can find the Petroleum Engineering at the NED Main Campus.
Admissions,Please guide me about when do admissions open for BS? (I need this urgently),Admissions for BS typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Admissions,Do you know when do admissions open for BS? Can you help?,Admissions for BS typically open around June-July for the Fall semester. Keep an eye on the NED admission website at neduet.edu.pk/admission.
Admissions,Can you tell me how much percentage is required for Chemistry ME? Thanks.,The merit criteria for ME in Chemistry depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,Do you know where is the Student Affairs Directorate? Thanks.,You will find the Student Affairs Directorate clearly signposted at the NED Main Campus.
Academics,Could you please explain HOD of Electrical Engineering? Please.,The details of the Chairperson for Electrical Engineering are listed on the departmental sub-domain of the NED website.
Academics,I'm looking for info on who is the chairperson of Civil Engineering? Can you help?,"To contact the HOD of Civil Engineering, please visit the specific department's page on neduet.edu.pk."
Academics,"Hi, chairperson contact for Chemistry? Please.",The details of the Chairperson for Chemistry are listed on the departmental sub-domain of the NED website.
Fees & Scholarships,"Tell me, financial aid for BS students?",Scholarships for English students are announced periodically. Keep checking the Student Affairs notice board.
Academics,"Tell me, directions to Computer Systems Engineering building? Can you help?",You can find the Computer Systems Engineering at the NED Main Campus.
Academics,"Hey CampusBrain, location of Electrical Engineering? Can you help?",You can find the Electrical Engineering at the NED Main Campus.
Academics,Can you tell me how to find Environmental Engineering? Can you help?,The Environmental Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Quick question: what is the merit for ME in Urban & Infrastructure Engineering? - thanks in advance!,The merit criteria for ME in Urban & Infrastructure Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about financial aid for BS students? (I need this urgently),NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,Please guide me about how much percentage is required for Textile Engineering BS? - thanks in advance!,The merit criteria for BS in Textile Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,Can you tell me when does Controller of Examinations open? Please.,"You can visit the Controller of Examinations during standard university working hours, Monday to Friday."
Academics,I would like to know where is the Automotive Engineering department located? Thanks.,You can find the Automotive Engineering at the NED Main Campus.
Fees & Scholarships,I'm looking for info on fee for PhD in Telecommunications Engineering? Appreciate it.,"For PhD in Telecommunications Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,"Hello, how much percentage is required for Electronic Engineering MS?",Admission to Electronic Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hi, how much percentage is required for Biomedical Engineering ME? ASAP.",The merit criteria for ME in Biomedical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hi, closing merit for Textile Engineering?",Admission to Textile Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Please guide me about are there scholarships for English? Please.,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Fees & Scholarships,"Hey CampusBrain, fee for PhD in Architecture? (I need this urgently)",The fee structure for Architecture varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hello, what is the merit for ME in English? ASAP.",Admission to English (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,I'm looking for info on are there scholarships for Automotive Engineering? - thanks in advance!,NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,"Tell me, what is the merit for BS in Civil Engineering? (I need this urgently)",The merit criteria for BS in Civil Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,I would like to know how much percentage is required for Electrical Engineering BS? Thanks.,The merit criteria for BS in Electrical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,"Hey CampusBrain, chairperson contact for Environmental Engineering? (I need this urgently)",The details of the Chairperson for Environmental Engineering are listed on the departmental sub-domain of the NED website.
Admissions,What is the merit for PhD in Electronic Engineering? (I need this urgently),Admission to Electronic Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on how much percentage is required for Chemistry ME? Appreciate it.,Admission to Chemistry (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Hey CampusBrain, what is the merit for PhD in Petroleum Engineering? Can you help?",The merit criteria for PhD in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Could you please explain what is the merit for BS in Polymer & Petrochemical Engineering? - thanks in advance!,Admission to Polymer & Petrochemical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Quick question: fee for BE in English? - thanks in advance!,"For BE in English, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,"Hi, fee for PhD in Biomedical Engineering? (I need this urgently)","For PhD in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Do you know fee for PhD in Urban & Infrastructure Engineering? Please.,The fee structure for Urban & Infrastructure Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,"Tell me, fee for PhD in Chemistry? - thanks in advance!",The fee structure for Chemistry varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Tell me, how to find English? Can you help?",The English department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Academics,Can you tell me HOD of Metallurgical Engineering?,"To contact the HOD of Metallurgical Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,Could you please explain how much percentage is required for Mechanical Engineering MS? Can you help?,Admission to Mechanical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Please guide me about fee for PhD in Telecommunications Engineering? Appreciate it.,The fee structure for Telecommunications Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,Quick question: where is the Biomedical Engineering department located? Appreciate it.,The Biomedical Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,Could you please explain how much does Urban & Infrastructure Engineering cost? Thanks.,"For BS in Urban & Infrastructure Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Closing time for IT Department?,The IT Department generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Admissions,Please guide me about how much percentage is required for Electronic Engineering BE? Appreciate it.,The merit criteria for BE in Electronic Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,How to find Civil Engineering? - thanks in advance!,The Civil Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Quick question: what is the merit for BE in Electrical Engineering? Please.,Admission to Electrical Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Facilities,"Tell me, when does Registrar Office open? Appreciate it.","You can visit the Registrar Office during standard university working hours, Monday to Friday."
Fees & Scholarships,"Hey CampusBrain, semester fee for MS? Appreciate it.",The fee structure for Mechanical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hi, closing merit for Architecture? - thanks in advance!",The merit criteria for PhD in Architecture depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Tell me, what is the merit for MS in Architecture? Thanks.",Admission to Architecture (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Could you please explain who is the chairperson of Polymer & Petrochemical Engineering? Thanks.,"To contact the HOD of Polymer & Petrochemical Engineering, please visit the specific department's page on neduet.edu.pk."
Fees & Scholarships,Quick question: fee for ME in Biomedical Engineering? - thanks in advance!,"For ME in Biomedical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,"Hello, closing time for Registrar Office? (I need this urgently)","You can visit the Registrar Office during standard university working hours, Monday to Friday."
Fees & Scholarships,"Hey CampusBrain, fee for ME in Polymer & Petrochemical Engineering? - thanks in advance!",The fee structure for Polymer & Petrochemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Tell me, how much percentage is required for Architecture PhD?",The merit criteria for PhD in Architecture depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Fee for MS in Physics?,The fee structure for Physics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,"Hey CampusBrain, how much percentage is required for Software Engineering PhD? Please.",Admission to Software Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Please guide me about how much percentage is required for Polymer & Petrochemical Engineering ME? - thanks in advance!,The merit criteria for ME in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,What is the merit for ME in Mathematics?,Admission to Mathematics (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,I'm looking for info on how to find Petroleum Engineering? Please.,The Petroleum Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,Could you please explain what is the merit for MS in Architecture? Please.,Admission to Architecture (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Fee for BE in Chemical Engineering? ASAP.,The fee structure for Chemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Hey CampusBrain, location of Automotive Engineering? (I need this urgently)",You can find the Automotive Engineering at the NED Main Campus.
Academics,"Hi, where is the Materials Engineering department located? ASAP.",The Materials Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,"Hi, how much percentage is required for Chemistry PhD? Appreciate it.",Admission to Chemistry (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Quick question: fee for BS in Automotive Engineering? ASAP.,The fee structure for Automotive Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Are there scholarships for Civil Engineering? (I need this urgently),Scholarships for Civil Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,I'm looking for info on how much does Petroleum Engineering cost?,"For MS in Petroleum Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,Do you know how much percentage is required for Food Engineering BE?,The merit criteria for BE in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Quick question: location of Food Engineering? ASAP.,You can find the Food Engineering at the NED Main Campus.
Fees & Scholarships,"Hey CampusBrain, how much does Civil Engineering cost?","For BS in Civil Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,Could you please explain is Main Cafeteria open on weekends? Can you help?,"You can visit the Main Cafeteria during standard university working hours, Monday to Friday."
Fees & Scholarships,Fee for BE in Metallurgical Engineering? ASAP.,"For BE in Metallurgical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Fees & Scholarships,Please guide me about fee for PhD in Electronic Engineering? (I need this urgently),The fee structure for Electronic Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,Can you tell me how much percentage is required for Architecture PhD? Please.,Admission to Architecture (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Tell me, how much percentage is required for Electrical Engineering BS? - thanks in advance!",Admission to Electrical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Could you please explain how much percentage is required for Polymer & Petrochemical Engineering ME? (I need this urgently),The merit criteria for ME in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Academics,Can you tell me chairperson contact for Electronic Engineering? Thanks.,"To contact the HOD of Electronic Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,"Hi, merit criteria for Automotive Engineering? Please.",Admission to Automotive Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on how much percentage is required for Biomedical Engineering MS? (I need this urgently),Admission to Biomedical Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,"Hello, how to find Computer Systems Engineering? ASAP.",You can find the Computer Systems Engineering at the NED Main Campus.
Admissions,I would like to know how much percentage is required for Petroleum Engineering BS? Can you help?,The merit criteria for BS in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Could you please explain what is the merit for PhD in Petroleum Engineering? ASAP.,The merit criteria for PhD in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Facilities,"Tell me, how do I go to Sports Complex? Thanks.",You will find the Sports Complex clearly signposted at the NED Main Campus.
Admissions,I would like to know merit criteria for Physics? Appreciate it.,Admission to Physics (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,"Hi, fee for PhD in Physics? ASAP.",The fee structure for Physics varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Could you please explain fee for ME in Electrical Engineering? ASAP.,"For ME in Electrical Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Quick question: where is the Computer Systems Engineering department located? Can you help?,The Computer Systems Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Admissions,I would like to know what is the merit for MS in Architecture? Thanks.,The merit criteria for MS in Architecture depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Please guide me about fee for PhD in Architecture? ASAP.,The fee structure for Architecture varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,I would like to know how much percentage is required for Automotive Engineering PhD? Can you help?,The merit criteria for PhD in Automotive Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Fee for BS in Computer Systems Engineering? - thanks in advance!,The fee structure for Computer Systems Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Academics,"Tell me, who is the chairperson of Metallurgical Engineering? - thanks in advance!","To contact the HOD of Metallurgical Engineering, please visit the specific department's page on neduet.edu.pk."
Fees & Scholarships,"Hello, fee for BS in Petroleum Engineering? Please.",The fee structure for Petroleum Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Can you tell me how much does Telecommunications Engineering cost?,"For ME in Telecommunications Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Admissions,What is the merit for BS in Biomedical Engineering? Please.,Admission to Biomedical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on merit criteria for Materials Engineering? (I need this urgently),The merit criteria for PhD in Materials Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Tell me, what is the merit for BS in Petroleum Engineering? Appreciate it.",The merit criteria for BS in Petroleum Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,"Hey CampusBrain, how much does Computer Systems Engineering cost? (I need this urgently)","For ME in Computer Systems Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,"Hi, what are the timings for Registrar Office? Appreciate it.",The Registrar Office generally operates from 8:30 AM to 4:30 PM on weekdays. Timings may vary during Ramadan or exam seasons.
Academics,I would like to know where is the Software Engineering department located? Please.,The Software Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,Please guide me about what is the fee structure for Materials Engineering? Can you help?,The fee structure for Materials Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
